308,173,150,1620,86,68,93,57,249,47,45,1557,325,271,273,8422,281,197,71,1838,110,2255,78,11214,158,160,406,15,1072,14293,75,107
376,169,198,1657,87,80,77,62,327,33,47,1643,252,353,265,8591,364,212,74,1847,118,2175,91,11961,149,169,454,13,1109,14495,127,113
377,153,253,1624,80,77,67,68,321,27,67,1730,244,361,266,8618,428,236,100,1915,120,2158,100,12498,172,169,524,13,1215,14627,140,109
453,152,264,1527,82,76,74,67,315,28,46,1872,294,491,342,8826,447,208,82,1941,105,2321,92,13274,180,222,558,14,1364,14660,141,107
495,167,278,1504,116,28,94,56,348,25,59,1706,348,542,366,8703,498,197,110,2055,134,2327,121,13805,258,263,588,15,1488,14207,144,90
436,194,321,1460,132,25,97,57,341,16,50,1565,392,769,385,8605,526,227,112,2084,136,2223,123,14219,268,292,621,14,1617,13802,142,94
604,174,399,1561,115,25,94,64,384,19,61,1504,383,948,444,8400,520,236,103,2453,117,2179,167,15499,325,299,642,21,1637,13242,163,120
772,234,422,1604,104,25,114,64,466,14,93,1693,378,1030,389,8277,548,287,118,2605,105,2185,157,16844,318,343,646,22,1523,12971,167,108
938,239,424,1622,148,12,141,66,452,13,99,1600,432,1091,473,8268,494,307,156,2592,146,2339,171,17653,357,378,709,26,1788,12808,134,84
1330,277,440,1808,186,13,235,69,499,11,85,1562,482,1261,469,8204,554,308,157,2813,144,2311,171,19149,357,425,665,28,1948,12551,137,135
1302,314,468,1957,195,16,353,70,559,11,105,1633,432,1310,373,7973,627,389,159,3127,159,2298,159,19870,389,434,663,27,2047,12237,149,173
1376,326,479,2051,171,24,432,90,516,9,115,1780,382,1609,386,7816,720,416,141,3100,153,2253,119,20882,338,417,689,37,2168,11844,148,199
1624,311,456,2094,198,28,472,99,519,10,121,1759,420,1459,461,7710,849,432,137,3216,153,2274,132,21432,361,431,733,50,2111,11562,183,204
1807,325,398,2034,212,22,486,109,496,13,107,1770,396,1407,420,7773,971,474,122,3085,173,2244,90,21579,353,569,756,50,2156,11247,177,177
1762,280,392,2086,242,23,516,102,433,20,87,1780,330,1641,534,7759,1122,469,119,2961,193,2159,89,21106,347,607,796,57,2238,11041,168,230
1728,319,390,2495,229,24,555,117,580,23,84,1917,330,1607,508,7514,1256,422,124,3010,152,2045,90,20580,339,675,791,54,2031,10727,149,251
1594,286,405,2685,222,29,487,129,601,22,84,1925,292,1530,541,7313,1346,462,107,3047,186,2131,107,19565,338,745,847,66,1894,10372,137,216
2001,285,498,2835,255,50,386,146,593,39,73,1937,335,1727,672,7276,1565,513,111,2994,265,2084,170,19687,299,913,950,63,1923,10076,130,198
